category;name;rus;eng
talent_descr;alhaitham_an_elaboration_on_form;<p>Совершает рывок, по окончании которого наносит противникам поблизости dendro{Дендро урон} и создаёт Зеркало света.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление рывка аль-Хайтама.</p><p>name{Зеркало света}<br>При активации навыка аль-Хайтам создаёт 1 Зеркало света. Если в данный момент Зеркал света нет, он создаст 1 дополнительное Зеркало света. Зеркала света обладают следующими свойствами:<br>· Когда существуют Зеркала света, обычные атаки, заряженные атаки и атаки в падении аль-Хайтама конвертируются в dendro{Дендро урон}, который не может быть отменён другими инфузиями.<br>· Если такие атаки попадают по противнику, то Зеркала света выполняют Проекционный удар, наносящий dendro{Дендро урон по площади}, размер которого зависит от количества существующих Зеркал света.<br>· Одновременно может существовать до 3 Зеркал света.<br>· Со временем Зеркала света по очереди исчезают. Все зеркала исчезнут, если аль-Хайтам покинет поле боя.</p><p><i>«Истина по своей природе существует среди неопределённости, и даже величайшие умы не застрахованы от ошибок».</i></p>;"<p>Rushes forward, dealing dendro{Dendro DMG} to nearby opponents when the rush ends, causing a Chisel-Light Mirror to form.<br>Holding this skill will cause it to behave differently.</p><p>name{Hold}<br>Enters Aiming Mode to adjust the direction of Alhaitham's rush attack.</p><p>name{Chisel-Light Mirror}<br>When this skill is unleashed, Alhaitham will generate 1 Chisel-Light Mirror. If there are no Mirrors at this time, he will generate 1 additional Mirror. Chisel-Light Mirrors will have the following properties:<br>·When he possesses Chisel-Light Mirrors, Alhaitham's Normal, Charged, and Plunging Attacks will be converted to dendro{Dendro DMG}. This cannot be overridden.<br>·When attacks of the aforementioned kind hit opponents, the Chisel-Light Mirrors will unleash a Projection Attack that deals dendro{AoE Dendro DMG} based on the number of Mirrors on the field.<br>·A total of 3 Chisel-Light Mirrors can exist at once.<br>·The Chisel-Light Mirrors will disappear one after the other over time, and will all disappear when Alhaitham leaves the field.</p><p><i>""Truth inherently exists amidst uncertainty. Even the greatest of scholars are not immune to error.""</i></p>"
talent_name;aloy_prophecies_of_dawn;Пророчества рассвета;Prophecies of Dawn
talent_descr;aloy_prophecies_of_dawn;<p>Элой бросает в цель Топливный элемент, наполненный элементом Крио, затем детонирует его стрелой, нанося cryo{Крио урон по площади}.</p><p><i>Означал ли «Новый рассвет» надежду или вымирание - больше не имеет значения. Элой уже спасла свой мир, а у этого мира есть свои герои.</i></p>;"<p>Aloy throws a Power Cell filled with Cryo in the targeted direction, then detonates it with an arrow, dealing cryo{AoE Cryo DMG}.</p><p><i>Whether ""Zero Dawn"" referred to hope or extinction no longer matters. Aloy has already saved her world, and the fate of this one is still being forged by its own heroes.</i></p>"
talent_name;aloy_rapid_fire;Скоростная стрельба;Rapid Fire
talent_descr;aloy_rapid_fire;<p>name{Обычная атака:}<br>До четырёх выстрелов из лука.<br>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается холодом. Полностью заряженная холодом стрела наносит cryo{Крио урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 4 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, biting frost will accumulate on the arrowhead. A fully charged frost arrow will deal cryo{Cryo DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;aloy_frozen_wilds;Ледяная пустошь;Frozen Wilds
talent_descr;aloy_frozen_wilds;<p>Элой бросает в цель Морозильную бомбу, которая взрывается при столкновении и наносит cryo{Крио урон}. После взрыва Морозильная бомба делится на множество Ледяных бомбочек, которые взрываются при контакте с противником или после небольшой задержки и наносят cryo{Крио урон}.<br>Когда Морозильная бомба или Ледяная бомбочка поражают противника, его сила атаки понижается и Элой получает один уровень Спирали.<br>Элой может получить до 1 уровня Спирали каждые 0,1 сек.</p><p>name{Спирали}<br>· Каждый уровень Спирали повышает урон обычной атаки Элой.<br>· Когда Элой набирает 4 уровня Спирали, все уровни Спирали сбрасываются, а она входит в состояние Стремительного льда, которое повышает урон её обычной атаки и конвертирует его в cryo{Крио урон}.</p><p>Находясь в состоянии Стремительного льда, Элой не может накапливать уровни Спирали.<br>Эффекты Спирали сбросятся через 30 сек. после того, как Элой покинет бой.</p><p><i>Разве это холодно? Значит, вы никогда не были в Зарубке.</i></p>;<p>Aloy throws a Freeze Bomb in the targeted direction that explodes on impact, dealing cryo{Cryo DMG}. After it explodes, the Freeze Bomb will split up into many Chillwater Bomblets that explode on contact with opponents or after a short delay, dealing cryo{Cryo DMG}.<br>When a Freeze Bomb or Chillwater Bomblet hits an opponent, the opponent's ATK is decreased and Aloy receives 1 Coil stack.<br>Aloy can gain up to 1 Coil stack every 0.1s.</p><p>name{Coil}<br>·Each stack increases Aloy's Normal Attack DMG.<br>·When Aloy has 4 Coil stacks, all stacks of Coil are cleared. She then enters the Rushing Ice state, which further increases the DMG dealt by her Normal Attacks and converts her Normal Attack DMG to cryo{Cryo DMG}.</p><p>While in the Rushing Ice state, Aloy cannot obtain new Coil stacks.<br>Coil effects will be cleared 30s after Aloy leaves combat.</p><p><i>You think that's cold? Guess you've never been to The Cut.</i></p>
talent_name;amber_fiery_rain;Огненный дождь;Fiery Rain
talent_descr;amber_fiery_rain;<p>Эмбер выпускает град огненных стрел, который наносит периодический pyro{Пиро урон по площади}.</p><p><i>Говорят, что Эмбер полна горящей страсти, поэтому будьте осторожны, иначе она сожжёт и вас.</i></p>;<p>Fires off a shower of arrows, dealing continuous pyro{AoE Pyro DMG}.</p><p><i>Amber's passion truly burns hot.</i></p>
talent_name;amber_sharpshooter;Первоклассный стрелок;Sharpshooter
talent_descr;amber_sharpshooter;<p>name{Обычная атака:}<br>До пяти выстрелов из лука.</p><p>name{Заряженная атака:}<br>Более меткий name{прицельный выстрел} с увеличенным уроном.<br>Во время прицеливания наконечник стрелы заряжается огнём. Полностью заряженная огнём стрела наносит pyro{Пиро урон}.</p><p>name{Атака в падении:}<br>Выпускает град стрел в воздухе, которые при приземлении персонажа наносят урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 5 consecutive shots with a bow.</p><p>name{Charged Attack}<br>Performs a more precise name{Aimed Shot} with increased DMG.<br>While aiming, flames will accumulate on the arrowhead. A fully charged flaming arrow will deal pyro{Pyro DMG}.</p><p>name{Plunging Attack}<br>Fires off a shower of arrows in mid-air before falling and striking the ground, dealing AoE DMG upon impact.</p>
talent_name;amber_explosive_puppet;Барон Зайчик;Explosive Puppet
talent_descr;amber_explosive_puppet;"<p>На Барона Зайчика всегда можно положиться.</p><p>name{Барон Зайчик:}<br>· Непрерывно дразнит врагов, привлекая их огонь на себя;<br>· Макс. HP Барона Зайчика зависит от макс. HP Эмбер;<br>· Если Барон Зайчик уничтожен, либо его время заканчивается, он взрывается, нанося pyro{Пиро урон по площади}.</p><p>name{Долгое нажатие:}<br>Позволяет выбрать направление броска.<br>Чем дольше удерживать кнопку, тем дальше будет бросок.</p><p><i>Барон Зайчик - наследник величественной и весьма запутанной родословной. Насколько запутанной? Эмбер смогла досчитать только до барона Зайчика 893-го, героически пожертвовавшего собой в бою.</i></p>";<p>The ever-reliable Baron Bunny takes the stage.</p><p>name{Baron Bunny}<br>·Continuously taunts the enemy, drawing their fire.<br>·Baron Bunny's HP scales with Amber's Max HP.<br>·When destroyed or when its timer expires, Baron Bunny explodes, dealing pyro{AoE Pyro DMG}.</p><p>name{Hold}<br>Adjusts the throwing direction of Baron Bunny.<br>The longer the button is held, the further the throw.</p><p><i>Baron Bunny hails from a storied lineage, but Amber has stopped keeping count since Baron Bunny the 893rd.</i></p>
talent_name;arataki_itto_behold_itto_the_evil;Явление короля: Итто Жестокий!;Royal Descent: Behold, Itto the Evil!
talent_descr;arataki_itto_behold_itto_the_evil;<p>Пора показать врагам силу банды Аратаки! На некоторое время Итто позволяет проявиться своему внутреннему Яростному королю óни и использует в бою Канабо короля óни.<br>Этот статус характеризуется следующими свойствами:<br>· Обычные и заряженные атаки, а также атаки в падении наносят geo{Гео урон}. Этот эффект не может быть отменён другими инфузиями.<br>· Увеличивается скорость обычных атак Аратаки Итто, сила атаки возрастает пропорционально его защите.<br>· У Аратаки Итто прибавляется по одному уровню Невероятной силы за попадание по врагу первым или третьим ударом комбо-атаки.<br>· Все виды элементального сопротивления и физ. сопротивление Аратаки Итто снижаются на 20%.</p><p>Статус Яростного короля óни снимается, если Аратаки Итто покидает поле боя.</p><p><i>Величайшая непревзойдённая техника боя (по мнению самого Аратаки). Аратаки Итто ни к чему подражать чему-либо другому, чтобы стать сильнее, ведь он, и никто другой, является самым сильным и самым ужасным óни в мире.</i><br><i>Сёта думает, это очень круто.</i></p>;<p>Time to show 'em the might of the Arataki Gang! For a time, Itto lets out his inner Raging Oni King, wielding his Oni King's Kanabou in battle.<br>This state has the following special properties:<br>· Converts Itto's Normal, Charged, and Plunging Attacks to geo{Geo DMG}. This cannot be overridden.<br>· Increases Itto's Normal Attack SPD. Also increases his ATK based on his DEF.<br>· On hit, the 1st and 3rd strikes of his attack combo will each grant Arataki Itto 1 stack of Superlative Superstrength.<br>· Decreases Itto's Elemental and Physical RES by 20%.</p><p>The Raging Oni King state will be cleared when Itto leaves the field.</p><p><i>This is the pinnacle technique of the ultimate fighting style (according to Itto). It would be pointless for Arataki Itto to reference any other fighting styles to improve his own, for he, and no other, is the strongest, most terrible oni in the land.</i><br><i>Shouta thinks it looks really cool.</i></p>
talent_name;arataki_itto_fight_club_legend;Легенда бойцовского клуба;Fight Club Legend
talent_descr;arataki_itto_fight_club_legend;<p>name{Обычная атака}<br>До четырёх рубящих ударов.<br>При попадании второго удара по врагу персонаж получает 1 ур. эффекта Невероятная сила, при попадании четвёртого удара - 2 ур.<br>Невероятная сила может складываться до 5 раз. При каждом срабатывании длительность обновляется для всех уровней Невероятной силы.</p><p>Кроме этого, комбо обычных атак не сбрасывается в течение короткого периода после запуска элементального навыка Масацу дзэцуги: Взрыв акауси или спринта.</p><p>name{Заряженная атака}<br>Если у персонажа есть Невероятная сила, то, удерживая кнопку заряженной атаки, можно наносить рубящие удары Аратаки кэсагири, не расходуя выносливость. Каждый удар Аратаки кэсагири расходует 1 ур. Невероятной силы. При расходе последнего уровня Невероятной силы Итто наносит особенно мощный удар.<br>Если нет накопленных уровней Невероятной силы, Итто выполняет одиночный рубящий удар Сайтимондзи.</p><p>name{Атака в падении}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;"<p>name{Normal Attack}<br>Performs up to 4 consecutive strikes.<br>When the 2nd and 4th strikes hit opponents, Itto will gain 1 and 2 stacks of Superlative Superstrength, respectively.<br>Max 5 stacks. Triggering this effect will refresh the current duration of any existing stacks.</p><p>Additionally, Itto's Normal Attack combo does not immediately reset after sprinting or using his Elemental Skill, ""Masatsu Zetsugi: Akaushi Burst!""</p><p>name{Charged Attack}<br>When holding to perform a Charged Attack, Itto unleashes a series of Arataki Kesagiri slashes without consuming Stamina. Instead, each Arataki Kesagiri slash consumes 1 stack of Superlative Superstrength. When the final stack is consumed, Itto delivers a powerful final slash.<br>If no stacks of Superlative Superstrength are available, Itto will perform a single Saichimonji Slash.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing AoE DMG upon impact.</p>"
talent_name;arataki_itto_akaushi_burst;Масацу дзэцуги: Взрыв акауси!;Masatsu Zetsugi: Akaushi Burst!
talent_descr;arataki_itto_akaushi_burst;<p>Забрасывает Уси, бычка породы акауси и внештатного бойца банды Аратаки, который наносит врагам geo{Гео урон}! Когда Уси попадает во врага, Аратаки Итто получает 1 ур. Невероятной силы.</p><p>Уси остаётся на поле боя для поддержки:<br>· Уси дразнит врагов, отвлекая их на себя.<br>· Его макс. HP зависит от макс. HP Аратаки Итто.<br>· Когда Уси получает урон, Аратаки Итто получает 1 ур. Невероятной силы (не чаще чем раз в 2 сек.).<br>· Когда у Уси заканчивается HP или время его действия подходит к концу, он убегает, добавляя Аратаки Итто 1 ур. Невероятной силы.</p><p>name{Долгое нажатие}<br>Позволяет отрегулировать направление заброски Уси.</p><p>Уси считается geo{Гео конструкцией}. У Аратаки может быть только один свой Уси одновременно.</p><p><i>Название техники заимствовано из романа Дзюнкити «Онибудо». Правда, там оно звучит немного иначе - Онисацу дзэцуги, «уникальная техника убийства óни». Пришлось немного подправить название и заменить в названии «óни» на «ма» - «нечисть». Во-первых, это позволяет избежать нарушения авторских прав. А во-вторых, Итто ведь и сам óни, так что...</i></p>;"<p>Hurls Ushi, the young akaushi bull and auxiliary member of the Arataki Gang, dealing geo{Geo DMG} to opponents on hit. When Ushi hits opponents, Arataki Itto gains 1 stack of Superlative Superstrength.</p><p>Ushi will remain on the field and provide support in the following ways:<br>· Taunts surrounding opponents and draws their attacks.<br>· Inherits HP based on a percentage of Arataki Itto's Max HP.<br>· When Ushi takes DMG, Arataki Itto gains 1 stack of Superlative Superstrength. Only 1 stack can be gained in this way every 2s.<br>· Ushi will flee when its HP reaches 0 or its duration ends. It will grant Arataki Itto 1 stack of Superlative Superstrength when it leaves.</p><p>name{Hold}<br>Adjust throwing angle.</p><p>Ushi is considered a geo{Geo construct}. Arataki Itto can only deploy 1 Ushi on the field at any one time.</p><p><i>The name of this technique is derived from Onibudou (a light novel series written by Junkichi). However, calling it ""Onisatsu Zetsugi"" probably constitutes copyright infringement — not to mention how Itto himself is an oni and all...</i></p>"
talent_name;arlecchino_balemoon_rising;Восхождение роковой луны;Balemoon Rising
talent_descr;arlecchino_balemoon_rising;<p>Арлекино взмахивает великими крыльями Пламени роковой луны, поглощает и снимает Веления кровавого долга поблизости, нанося pyro{Пиро урон по площади}, после чего сбрасывает откат элементального навыка Всё превращается в прах и восстанавливает HP пропорционально значению собственного Долга жизни и силы атаки.</p><p><i>Все фазы луны, за исключением полнолуния, в Тейвате считаются дурными предзнаменованиями, которые используют лишь алхимики и астрологи.<br>Сколько раз являлась багровая луна ей во снах... Сулила ли она бедствия? Да, но выпадали они на долю тех, кто приводил её в ярость.</i></p>;<p>Arlecchino's great wing of Balemoon Bloodfire beats as she absorbs and clears Blood-Debt Directives around her. She deals pyro{AoE Pyro DMG} before clearing the CD of All Is Ash and healing herself. The healing is based on her Bond of Life value and ATK.</p><p><i>It is commonly believed throughout Teyvat that moon phases other than the full moon are mere metaphors of ill-omen, used only by those who practice alchemy and astrology.<br>She saw this crimson moon in her dreams many times. Were those portents of disaster? Indeed they were, but the destined catastrophes belonged to those who enraged her.</i></p>
talent_name;arlecchino_invitation_to_a_beheading;Приглашение на казнь;Invitation to a Beheading
talent_descr;arlecchino_invitation_to_a_beheading;<p>name{Обычная атака:}<br>До шести ударов копьём подряд.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости, совершает рывок к врагу поблизости и наносит удар.<br>При продолжительном нажатии Арлекино продолжает потреблять выносливость на стремительное перемещение, которое длится до 5 сек.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p><p>name{Маска Красной Смерти}<br>Когда Арлекино обладает Долгом жизни, который равен или превышает 30% от её макс. HP, она входит в состояние Маски Красной Смерти: урон её обычных атак, заряженных атак и атак в падении конвертируется в pyro{Пиро урон}. Этот эффект не может быть отменён какой-либо элементальной инфузией.<br>Когда Арлекино пребывает в состоянии Маски Красной Смерти, удары её обычной атаки при попадании наносят противнику дополнительный урон, пропорциональный силе атаки Арлекино, умноженной на процентное значение текущего Долга жизни, и потребляет 7,5% данного Долга жизни. Долг жизни таким образом может потребляться не чаще одного раза каждые 0,03 сек. Потребление Долга жизни таким способом сокращает откат элементального навыка Всё превращается в прах на 0,8 сек.</p>;"<p>name{Normal Attack}<br>Performs up to 6 consecutive spear strikes.</p><p>name{Charged Attack}<br>Consumes a fixed amount of Stamina, dashing toward a nearby opponent and cleaving once.<br>Continuously holding this button will cause Arlecchino to consume Stamina and engage in up to 5s of high-speed movement.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p><p>name{Masque of the Red Death}<br>When Arlecchino has a Bond of Life equal to or greater than 30% of her Max HP, she will enter the ""Masque of the Red Death"" state, where her Normal, Charged, and Plunging Attacks will be converted to deal pyro{Pyro DMG}. This cannot be overridden.<br>When in the ""Masque of the Red Death"" state, Arlecchino's Normal Attacks will deal extra DMG to opponents on hit that scales off her ATK multiplied by a certain ratio of her current Bond of Life percentage. This will consume 7.5% of said current Bond of Life. Her Bond of Life can be consumed this way every 0.03s. When her Bond of Life is consumed in this manner, All Is Ash's CD will decrease by 0.8s.</p>"
talent_name;arlecchino_all_is_ash;Всё превращается в прах;All Is Ash
talent_descr;arlecchino_all_is_ash;<p>Призывает Пламя роковой луны, нанося нескольким противникам поблизости pyro{Пиро урон}, и против одного из них выполняет выпад, который наносит pyro{Пиро урон по площади}. На поражённых такой атакой врагов накладывается Веление кровавого долга.</p><p>name{Веление кровавого долга}<br>· Длится 30 сек. Каждые 5 сек. наносит врагу однократный pyro{Пиро урон}. Такой урон наносится до 2 раз и считается уроном элементального навыка.<br>· Применяя заряженную атаку или взрыв стихии Восхождения роковой луны, Арлекино поглощает и снимает Веления кровавого долга поблизости. Каждое поглощённое Веление кровавого долга наделяет её Долгом жизни, равным 65% от её макс. HP.<br>· В течение 35 сек. после активации элементального навыка Арлекино с помощью Веления кровавого долга может получить Долг жизни, не превышающий 145% от её макс. HP. Если в это время применить элементальный навык повторно, расчёт длительности и максимума значения Долга жизни от Веления кровавого долга начнётся сначала.</p><p><i>В её понимании, одинокое пшеничное зерно, упавшее в землю, не всегда прорастает колосом и может беззвучно сгнить. А если всех тех, кто встанет у неё на пути, сжечь дотла, оставшийся от них пепел станет пищей цветам.</i></p>;<p>Summons forth Balemoon Bloodfire, dealing pyro{Pyro DMG} to multiple nearby opponents and performing a dash-cleave against one of them, dealing pyro{AoE Pyro DMG}.<br>Opponents hit by the aforementioned attack will have a Blood-Debt Directive applied to them.</p><p>name{Blood-Debt Directive}<br>·Lasts 30s. Every 5s, it will deal 1 instance of pyro{Pyro DMG} to the opponent. Max 2 instances. This DMG will be considered Elemental Skill DMG.<br>·When Arlecchino uses a Charged Attack or her Elemental Burst, Balemoon Rising, she will absorb and clear nearby Blood-Debt Directives. Each Directive absorbed grants her a Bond of Life worth 65% of her Max HP.<br>·The maximum value of the Bond of Life she can be granted through Blood-Debt Directives within 35s after using her Elemental Skill is 145% of her Max HP. Using the Elemental Skill again during this duration will restart the count on duration and the limit on the value of Bond of Life she may gain from Blood-Debt Directives.</p><p><i>As she sees it, not every grain of wheat that falls upon the earth will grow into an ear, while those who obstruct her, once burned to ashes, can certainly be used to nourish flowers.</i></p>
talent_name;baizhu_holistic_revivification;Целостное восстановление;Holistic Revivification
talent_descr;baizhu_holistic_revivification;<p>Входит в состояние Пульсирующей ясности и создаёт Бесшовный щит, который поглощает dendro{Дендро урон} с 250% эффективностью.<br>В этом состоянии Бай Чжу создаёт новый Бесшовный щит каждые 2,5 сек.</p><p>Бесшовный щит восстанавливает HP вашего активного персонажа пропорционально макс. HP Бай Чжу и атакует противников, высвобождая Призрачные артерии, которые наносят dendro{Дендро урон}, в следующих ситуациях:<br>· Когда персонаж находится под защитой Бесшовного щита и создаётся новый Бесшовный щит.<br>· Когда время действия Бесшовного щита завершается или его разбивают.</p><p><i>Если вы сможете понять небо и землю, защитить внутреннюю сущность от внешнего воздействия и сохранить ясность разума, для вас препятствий не останется.</i></p>;<p>Enters the Pulsing Clarity state, creating a Seamless Shield that absorbs dendro{Dendro DMG} with 250% effectiveness.<br>While in this state, Baizhu will generate a new Seamless Shield every 2.5s.</p><p>The Seamless Shield will heal your own active character based on Baizhu's Max HP and attack opponents by unleashing Spiritveins, dealing dendro{Dendro DMG} under the following circumstances:<br>·When a character is under the protection of a Seamless Shield and a new Seamless Shield is generated.<br>·When the Seamless Shield's effects expire, or when it is shattered.</p><p><i>If you can perceive the heavens and the earth, defend against malignant auras with the flow of qi, and keep your mind clear, surely nothing can hinder you.</i></p>
